Amplitudo
-0.065
-0.06375
-0.05625
-0.0575
-0.055
-0.055
-0.0525
-0.05125
-0.04625
-0.03875
-0.03625
-0.03125
-0.03
-0.02625
-0.02625
-0.02
-0.015
-0.01125
-0.00625
-0.005
-0.00375
0.0
0.0
0.0
0.00375
0.01
0.01
0.01375
0.0175
0.0225
0.0225
0.0225
0.02
0.01875
0.01875
0.02
0.025
0.03
0.0375
0.0425
0.04625
0.04875
0.05375
0.055
0.05375
0.055
0.055
0.06375
0.065
0.07
0.07375
0.07875
0.07875
0.07625
0.07875
0.0775
0.08625
0.0875
0.085
0.08125
0.075
0.0675
0.05375
0.045
0.03625
0.03
0.0225
0.01375
0.00625
0.005
0.00375
-0.00875
-0.0175
-0.025
-0.03125
-0.04
-0.04375
-0.0425
-0.0475
-0.0525
-0.06125
-0.0625
-0.065
-0.0625
-0.06125
-0.06625
-0.06625
-0.06
-0.0525
-0.0475
-0.03875
-0.01625
0.0275
0.09625
0.1925
0.2975
0.39
0.46
0.48
0.48375
0.4375
0.36875
0.29
0.22375
0.175
0.12375
0.08
0.03375
0.00375
-0.0175
-0.03125
-0.04
-0.05
-0.055
-0.0625
-0.07125
-0.0775
-0.08
-0.08125
-0.08375
-0.08875
-0.09125
-0.09375
-0.09625
-0.1025
-0.11
-0.115
-0.12375
-0.1325
-0.14
-0.15375
-0.16
-0.16375
-0.1725
-0.18
-0.18375
-0.18125
-0.19125
-0.195
-0.19625
-0.19875
-0.20125
-0.205
-0.20375
-0.1975
-0.18875
-0.1825
-0.18
-0.17375
-0.1675
-0.15875
-0.1525
-0.14375
-0.13625
-0.1225
-0.10875
-0.09875
-0.085
-0.0675
-0.04875
-0.03875
-0.02375
-0.01125
0.00375
0.01375
0.025
0.0375
0.0475
0.0525
0.05375
0.055
0.0575
0.05625
0.04875
0.04625
0.04375
0.0425
0.03875
0.035
0.03375
0.0325
0.03
0.02
0.015
0.01125
0.00875
0.0025
-0.0025
-0.0025
-0.0075
-0.01
-0.01375
-0.01625
-0.01375
-0.01125
-0.015
-0.015
-0.01375
-0.01875
-0.0275
-0.0325
-0.0325
-0.0275
-0.02625
-0.025
-0.03125
-0.03125
-0.03125
-0.03625
-0.04375
-0.04875
-0.045
-0.05125
-0.05
-0.04875
-0.045
-0.03875
-0.035
-0.02875
-0.02625
-0.02125
-0.0225
-0.025
-0.0275
-0.0225
-0.02
-0.01875
-0.01625
-0.015
-0.01125
-0.0125
-0.0175
-0.01875
-0.01625
-0.01
-0.0075
-0.00375
0.00125
0.005
0.00125
0.0
0.0025
0.00375
0.00875
0.0125
0.0175
0.02125
0.02125
0.015
0.01125
0.0125
0.01
0.0125
0.01125
0.01125
0.01125
0.01375
0.01
0.00875
0.01625
0.02375
0.02875
0.0275
0.03
0.03
0.03625
0.04
0.04125
0.03875
0.035
0.0275
0.01625
0.0075
0.0
-0.005
-0.01
-0.0125
-0.01875
